a_voltage_V,b_max_voltage_V,c_current_A,d_resistance_mOhm,e_welding_energy_Ws,f_force_one_N,g_force_two_N,h_movement_one_um,i_movement_two_um,j_welding_time_ms,k_wear,machine_nr,time
1.0378026,2.3944051,3563.9873,414.69125,3311.9177,187.98029,189.39876,431.19659,432.69287,770.27515,0,1,140
1.6947532,2.1641936,3788.8438,437.98157,3312.0835,178.43922,183.85364,411.96524,433.88852,741.83661,0,1,141
1.7308853,2.1374102,3552.7749,395.41013,3312.2683,193.35933,175.10176,434.07507,407.5419,840.85925,0,1,142
1.7968104,2.0553365,3665.5203,459.84552,3311.9731,187.03419,185.30209,437.75641,411.13803,901.72144,0,1,143
1.3501006,2.3767362,3613.7979,427.89862,3311.9329,189.7917,184.90004,435.61108,431.91293,889.44104,0,0,144
1.5766829,2.3870029,3754.0195,496.56293,3311.7937,195.52466,195.06178,439.47415,414.40338,791.21448,0,1,145
1.3577735,2.40277,3630.8362,400.22955,3311.8264,187.20695,183.08177,427.29913,438.11807,742.83838,0,0,146
0.88825977,2.2333636,3722.7983,410.23901,3311.333,193.77545,183.51732,431.70087,441.34134,850.07654,0,1,147
1.4320153,2.1923873,3459.4231,409.58127,3312.4644,188.67816,173.16826,409.37109,418.05994,827.59113,0,1,148
1.2988456,2.2692175,3551.9658,453.28595,3311.8154,180.4223,189.1666,439.60425,428.11469,831.03436,0,0,149
2.1307085,2.1071963,3592.928,438.22885,3312.2363,179.59831,188.17226,430.50989,440.03638,838.87366,0,1,150
1.4841601,2.0008636,3679.406,381.24551,3311.866,181.01141,179.01012,438.74081,424.28934,800.09625,0,0,151
1.9650186,2.2456522,3653.3049,524.93091,3312.4565,198.696,182.37761,418.86801,420.30124,808.40881,0,0,152
1.6509616,2.3079798,3817.634,476.17239,3311.7998,184.21686,197.26743,426.03189,431.39719,820.38422,0,0,153
1.0419662,2.1564274,3842.9971,443.34698,3312.1165,159.67296,184.75513,421.94769,410.22998,735.87982,0,1,154
1.3473678,2.1909118,3893.573,460.03253,3312.2917,184.83104,182.52757,431.57675,428.88818,804.02148,0,0,155
0.92635792,2.2109318,3916.8179,507.02872,3311.9897,184.82178,192.87492,440.12796,431.45819,782.83832,0,1,156
1.541104,2.0055647,3531.9326,541.08496,3312.1555,176.05414,178.39153,426.80353,414.17822,777.35107,0,0,157
1.6244739,2.4771578,3615.2122,431.33292,3311.9258,187.63359,185.64154,435.8895,399.75775,887.888,0,1,158
1.4133903,2.3360052,3977.6265,386.58472,3311.7473,188.97188,195.45427,405.99936,404.81534,779.71631,0,1,159
1.6753371,2.368865,3816.8862,446.46826,3311.9285,168.89014,189.71164,425.7652,421.26013,777.64886,0,1,160
1.7557385,2.2324061,3651.9404,465.81778,3311.9675,174.09508,198.48875,414.17899,422.69461,740.81763,0,1,161
1.3492746,2.3220737,3663.4133,457.69214,3311.8376,176.31642,191.608,427.49887,409.52194,813.19159,0,0,162
1.1211407,2.0444429,3684.1204,451.0379,3311.8591,172.93591,188.33946,423.41092,441.04309,786.85168,0,0,163
