glue_weight,item_id,x1_dist,x2_dist,y1_dist,y2_dist,station_id,time
8.1812916,7107,2.0834162,2.0270176,2.0407569,2.0863764,2,3558
7.9962969,7110,1.9855092,2.0714819,1.9723682,1.9121081,1,3558
7.9576049,7111,1.9095514,1.9101565,2.0124192,2.0782259,0,3558
8.4658384,14231,2.0868657,1.9042048,2.0633249,1.9827774,-1,3558
8.2613802,14234,1.972541,2.074167,2.0893192,2.0502698,-1,3559
7.9962969,7110,1.9855092,2.0714819,1.9723682,1.9121081,2,3559
7.9576049,7111,1.9095514,1.9101565,2.0124192,2.0782259,1,3559
7.9531546,7114,2.073884,2.0454147,2.0021818,2.0670238,0,3559
8.2132826,14235,1.9194379,1.9627624,1.9632825,2.0103512,-1,3559
7.8894887,14238,1.9828326,1.903393,2.0609429,2.0042,-1,3560
7.9576049,7111,1.9095514,1.9101565,2.0124192,2.0782259,2,3560
7.9531546,7114,2.073884,2.0454147,2.0021818,2.0670238,1,3560
7.7486992,7115,1.9505265,1.9382397,1.9990429,1.976204,0,3560
7.8424883,14239,2.0644379,1.9875122,1.940464,1.9634246,-1,3560
8.2469273,14242,2.0539455,2.0772603,1.9673085,2.0874043,-1,3561
7.9531546,7114,2.073884,2.0454147,2.0021818,2.0670238,2,3561
7.7486992,7115,1.9505265,1.9382397,1.9990429,1.976204,1,3561
7.9132943,7118,2.073529,2.0477045,2.0714903,1.9237978,0,3561
7.8470802,14243,2.0485075,2.0880029,1.9733161,1.9998711,-1,3561
8.3926401,14246,1.9654648,2.0061252,2.0452931,2.04094,-1,3562
7.7486992,7115,1.9505265,1.9382397,1.9990429,1.976204,2,3562
7.9132943,7118,2.073529,2.0477045,2.0714903,1.9237978,1,3562
8.065402,7119,2.0689266,2.0945668,2.0861819,1.9652632,0,3562
7.9343724,14247,2.0424972,2.0465517,1.9714283,2.0253651,-1,3562
8.0075779,14250,2.0773993,1.9747782,1.9203608,1.9701109,-1,3563
7.9132943,7118,2.073529,2.0477045,2.0714903,1.9237978,2,3563
8.065402,7119,2.0689266,2.0945668,2.0861819,1.9652632,1,3563
7.7817636,7122,1.9914614,1.9083399,1.9154196,2.0927036,0,3563
7.8931937,14251,1.9436132,1.999741,1.9789256,1.9109603,-1,3563
7.8944879,14254,2.0441334,1.9435238,2.043663,2.00721,-1,3564
8.065402,7119,2.0689266,2.0945668,2.0861819,1.9652632,2,3564
7.7817636,7122,1.9914614,1.9083399,1.9154196,2.0927036,1,3564
8.0041237,7123,2.0725772,1.9708714,1.9170152,2.0618029,0,3564
7.9769998,14255,2.0784371,1.9089876,2.0517621,1.9799801,-1,3564
7.9138055,14258,1.9378042,1.9349746,1.9949714,2.06446,-1,3565
7.7817636,7122,1.9914614,1.9083399,1.9154196,2.0927036,2,3565
8.0041237,7123,2.0725772,1.9708714,1.9170152,2.0618029,1,3565
7.9044895,7126,2.0678315,2.0273848,1.9371271,1.9922037,0,3565
8.1197176,14259,2.0072896,2.0534995,2.0514069,2.0120752,-1,3565
7.7972636,14262,1.9172758,2.0265775,2.0458512,1.9529028,-1,3566
8.0041237,7123,2.0725772,1.9708714,1.9170152,2.0618029,2,3566
7.9044895,7126,2.0678315,2.0273848,1.9371271,1.9922037,1,3566
7.950788,7127,2.0505502,1.9259499,2.0302162,1.9980742,0,3566
8.3242607,14263,1.9236541,1.9182274,2.0784712,1.917745,-1,3566
8.3357878,14266,2.0106108,1.9934756,1.9456092,2.079978,-1,3567
7.9044895,7126,2.0678315,2.0273848,1.9371271,1.9922037,2,3567
7.950788,7127,2.0505502,1.9259499,2.0302162,1.9980742,1,3567
8.1113482,7130,1.9994898,1.9982125,1.9595493,2.0816054,0,3567
7.9215016,14267,1.9978018,2.0744779,2.072777,2.0099673,-1,3567
8.1253538,14270,1.9212111,1.9802858,2.0312238,2.0067635,-1,3568
7.950788,7127,2.0505502,1.9259499,2.0302162,1.9980742,2,3568
8.1113482,7130,1.9994898,1.9982125,1.9595493,2.0816054,1,3568
8.0550299,7131,1.9081343,1.9136549,1.9825822,1.9749997,0,3568
8.0038071,14271,2.0447898,2.0256336,2.0961688,1.9148209,-1,3568
7.6175523,14274,1.9376365,2.0601461,1.9691401,2.096251,-1,3569
8.1113482,7130,1.9994898,1.9982125,1.9595493,2.0816054,2,3569
8.0550299,7131,1.9081343,1.9136549,1.9825822,1.9749997,1,3569
